,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
0,1,0.48490000000000005,0.42369999999999997,0.5133689839572192,0.513715710723192,0.48736815600257394,0.4936,0.49900199600798406,0.5025025025025025,0.46912640635340835,0.4875,0.4042,0.5153153153153153,0.5051124744376279,0.46871307539532897,0.5423,0.49369999999999997,0.5281553398058253,0.5169578622816032,0.5161738236050398,0.4953,0.5846,0.44927536231884063,0.47877358490566035
1,1,0.5014000000000001,0.5535,0.4857142857142857,0.48271752085816444,0.5159101486906891,0.498,0.49900199600798406,0.5076297049847406,0.48644591611479027,0.5556,0.46520000000000006,0.5479744136460555,0.5269978401727862,0.572448322014574,0.5036,0.5891,0.5274509803921569,0.5257623554153523,0.5120157736024125,0.4953,0.4914,0.478515625,0.47535596933187296
2,1,0.5082,0.6148,0.5933806146572104,0.524330900243309,0.5163258992603426,0.5107,0.5224489795918367,0.5181907571288102,0.44708135280238004,0.5147,0.8306999999999999,0.5393474088291746,0.4963273871983211,0.42483296213808464,0.4779,0.5416,0.48224299065420567,0.49478079331941544,0.4563888370356543,0.47240000000000004,0.4548,0.40981432360742703,0.48040313549832026
3,0,0.5122,0.3297,0.40076335877862596,0.48280254777070064,0.5914032794676806,0.5412,0.5156576200417536,0.5076142131979695,0.4815475189234651,0.5665,0.5545,0.5452631578947368,0.4859611231101512,0.5024416434433564,0.5017,0.46619999999999995,0.47912524850894633,0.49021627188465505,0.4635940933013132,0.5432,0.3825,0.50187265917603,0.5303347280334728
4,0,0.4865,0.5265,0.5532994923857868,0.533695652173913,0.5032545020611846,0.49670000000000003,0.4663774403470716,0.5101214574898786,0.49318871272394255,0.5578000000000001,0.5238,0.49889135254988914,0.49374999999999997,0.5419069913362454,0.4964,0.41090000000000004,0.4725490196078432,0.4742376445846478,0.48798422639758754,0.5105,0.4542,0.4949832775919732,0.5095238095238095
5,1,0.5192,0.46840000000000004,0.3699551569506726,0.45177664974619286,0.5667520409796702,0.5059,0.509433962264151,0.5181451612903226,0.49396947044412337,0.5417000000000001,0.5648,0.5823045267489713,0.521978021978022,0.45933040170502065,0.5163,0.5074000000000001,0.5631067961165048,0.5135699373695198,0.5308255455380052,0.5165,0.5186,0.47791164658634533,0.47566371681415925
6,0,0.49119999999999997,0.6197,0.36058700209643607,0.43582887700534756,0.5032830279487092,0.5412,0.5156576200417536,0.5076142131979695,0.4815475189234651,0.4739,0.4454,0.5212224108658744,0.5310957551826259,0.5576927323719718,0.5299,0.4536,0.40289256198347106,0.46243902439024387,0.49626609136815153,0.4933,0.5315,0.46689895470383275,0.5034562211981567
7,0,0.5172,0.34619999999999995,0.613899613899614,0.5128205128205128,0.5023226351351351,0.5257000000000001,0.5252100840336135,0.4663414634146341,0.4181258873639375,0.5169,0.3152,0.6122047244094487,0.5384615384615384,0.4854223182069583,0.4893,0.4657,0.4971857410881801,0.48762886597938143,0.5297725591274671,0.4721,0.49729999999999996,0.5084745762711864,0.5126964933494559
8,0,0.4983,0.4974,0.5253807106598984,0.49824970828471415,0.44491336601221526,0.4399,0.4869215291750503,0.49578947368421056,0.46459992961576607,0.48380000000000006,0.4403,0.4990825688073395,0.4883011190233978,0.4254187467923296,0.4983,0.5338,0.5208747514910537,0.509783728115345,0.5364059066986868,0.45780000000000004,0.5124,0.48021582733812945,0.5141884222474461
9,0,0.4532,0.3046,0.3617571059431524,0.45629820051413883,0.47719257674741283,0.5306000000000001,0.5185185185185186,0.5334665334665335,0.550548831217627,0.45659999999999995,0.505,0.5355086372360844,0.49609810479375693,0.3883848535883088,0.4983,0.5338,0.5208747514910537,0.509783728115345,0.5364059066986868,0.4889,0.5161,0.5387931034482758,0.5028058361391695
